Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,.01uf,C_0402_1005Metric,166,-85.2,0,top
C2,.01uf,C_0402_1005Metric,166,-83.8,0,top
C3,.01uf,C_0402_1005Metric,166.085,-82.4,0,top
C4,.01uf,C_0402_1005Metric,166.747,-110.67,180,top
C5,.01uf,C_0402_1005Metric,166.085,-81,0,top
C6,.01uf,C_0402_1005Metric,166.085,-79.6,0,top
C7,.01uf,C_0402_1005Metric,166.085,-78.2,0,top
C8,.01uf,C_0402_1005Metric,156.4,-115.6,0,top
C9,.01uf,C_0402_1005Metric,156.4,-113,0,top
C10,.01uf,C_0402_1005Metric,156.187,-107.95,0,top
C11,33pf,C_0402_1005Metric,112.485,-127.8,180,top
C12,33pf,C_0402_1005Metric,112.515,-123.2,0,top
C13,100nf,C_0402_1005Metric,120.6,-111.915,90,top
C14,100nf,C_0402_1005Metric,128.515,-116.2,180,top
C15,100nf,C_0402_1005Metric,166.685,-105.2,180,top
C16,100nf,C_0402_1005Metric,151.2,-87.8,180,top
Cboot1,0.1uf,C_0402_1005Metric,109.633,-98.562,0,top
Chf1,220nf,C_0805_2012Metric,109.3235,-88.91,180,top
Cin1,10uf,C_0805_2012Metric,109.4805,-86.116,180,top
Cout1,22uF,C_0805_2012Metric,100.6,-106.6,90,top
Cout2,22uF,C_0805_2012Metric,102.6,-106.6,90,top
Cout3,22uF,C_0805_2012Metric,117.6,-106.6625,90,top
Cout4,22uF,C_0805_2012Metric,115.6,-106.6625,90,top
D1,D_Schottky,D_SOD-123,104.096,-115.335,0,top
D2,D_Schottky,D_SOD-123,104.144,-112.465,180,top
D3,D_Schottky,D_SOD-123,103.994,-122.39,0,top
D4,D_Schottky,D_SOD-123,104.046,-119.61,180,top
D5,D_Schottky,D_SOD-123,104,-129.318,0,top
D6,D_Schottky,D_SOD-123,104.046,-126.482,180,top
D7,5.1V Zener,D_SOD-123,96.266,-121.111,90,top
D8,4.7V Zener,D_SOD-323,148.2,-133.6,0,top
D9,4.7V Zener,D_SOD-323,148.2,-127.6,0,top
D10,4.7V Zener,D_SOD-323,148.2,-121.6,0,top
D11,4.7V Zener,D_SOD-323,148.25,-115.6,0,top
D12,4.7V Zener,D_SOD-323,148.25,-109.6,0,top
D13,4.7V Zener,D_SOD-323,148.218,-103.505,0,top
D14,D_Schottky,D_SOD-123,139.15,-134.4,180,top
D15,D_Schottky,D_SOD-123,139.15,-128.4,180,top
D16,D_Schottky,D_SOD-123,139.2,-122.6,180,top
D17,D_Schottky,D_SOD-123,139.15,-116.6,180,top
D18,D_Schottky,D_SOD-123,139.15,-110.6,180,top
D19,D_Schottky,D_SOD-123,139.15,-104.4,180,top
D20,15V standoff,D_SMB,93.35,-89.4,0,top
L1,"8uH, 14m",L_Bourns_SRP7028A_7.3x6.6mm,108.386,-104.912,90,top
R0,500R,R_0402_1005Metric,173.402,-74.518,270,top
R1,500R,R_0402_1005Metric,163.162,-73.085,270,top
R2,500R,R_0402_1005Metric,153.122,-74.368,270,top
R3,500R,R_0402_1005Metric,142.882,-74.368,270,top
R4,500R,R_0402_1005Metric,132.642,-74.368,270,top
R5,500R,R_0402_1005Metric,122.602,-74.368,270,top
R6,500R,R_0402_1005Metric,112.562,-74.368,270,top
R7,500R,R_0402_1005Metric,102.722,-74.368,270,top
R8,500R,R_0402_1005Metric,93.082,-74.368,270,top
R9,1k,R_0402_1005Metric,100.6,-115.4,180,top
R10,1k,R_0402_1005Metric,100.6,-112.4,180,top
R12,1k,R_0402_1005Metric,107.6,-115.4,0,top
R13,100k,R_0402_1005Metric,166,-86.2,180,top
R14,1k,R_0402_1005Metric,100.6,-122.4,180,top
R15,1k,R_0402_1005Metric,100.515,-119.61,180,top
R16,1k,R_0402_1005Metric,107.4,-122.4,0,top
R17,100k,R_0402_1005Metric,169.285,-84.6,180,top
R18,1k,R_0402_1005Metric,100.6,-129.4,180,top
R19,1k,R_0402_1005Metric,100.6,-126.4,180,top
R20,1k,R_0402_1005Metric,107.4,-129.4,0,top
R21,100k,R_0402_1005Metric,169.285,-83.2,180,top
R22,100k,R_0402_1005Metric,144,-134.915,270,top
R23,1k,R_0402_1005Metric,142.515,-134.4,180,top
R24,10R,R_0402_1005Metric,93.749,-138.129,180,top
R25,100k,R_0402_1005Metric,144,-128.915,270,top
R26,1k,R_0402_1005Metric,142.515,-128.4,180,top
R27,10R,R_0402_1005Metric,93.703,-135.589,180,top
R28,100k,R_0402_1005Metric,144,-123.115,270,top
R29,1k,R_0402_1005Metric,142.515,-122.6,180,top
R30,10R,R_0402_1005Metric,93.703,-133.049,180,top
R31,100k,R_0402_1005Metric,144,-117.115,270,top
R32,1k,R_0402_1005Metric,142.515,-116.6,180,top
